month,temperature_c,rainfall_mm,city
Jan,2.1,55,London
Feb,2.5,40,London
Mar,5.2,41,London
Apr,8.3,43,London
May,11.7,49,London
Jun,14.9,45,London
Jul,17.0,44,London
Aug,16.8,49,London
Sep,14.1,49,London
Oct,10.8,69,London
Nov,6.1,59,London
Dec,3.4,55,London
Jan,3.5,43,Paris
Feb,4.2,37,Paris
Mar,7.8,45,Paris
Apr,10.7,45,Paris
May,14.3,55,Paris
Jun,17.5,54,Paris
Jul,19.8,59,Paris
Aug,19.5,43,Paris
Sep,16.5,47,Paris
Oct,12.2,52,Paris
Nov,7.2,51,Paris
Dec,4.2,53,Paris
Jan,0.1,42,Berlin
Feb,0.9,33,Berlin
Mar,4.5,41,Berlin
Apr,9.0,37,Berlin
May,13.7,54,Berlin
Jun,16.8,69,Berlin
Jul,18.8,56,Berlin
Aug,18.3,58,Berlin
Sep,14.5,45,Berlin
Oct,9.7,37,Berlin
Nov,4.7,44,Berlin
Dec,1.4,55,Berlin
